author_id,report_id,no_of_srrs,no_of_psrs,percent_srrs,author_full_name
7003859797,[91],0,1,0.0,Alvaro Avezum
7003942962,[80],0,1,0.0,Andrei C. Sposito
7003998135,[79],0,1,0.0,Elena V. Kuklina
7004034755,[89],0,1,0.0,Kenneth J. Mukamal
7004124868,[81],0,1,0.0,Tatjana Rundek
7004152046,"[78, 87]",0,2,0.0,Carol Forsblom
7004280517,"[47, 58]",0,2,0.0,Pirjo Pietinen
7004307683,"[45, 46]",0,2,0.0,Lorraine G. Ogden
7004440499,[30],0,1,0.0,Jostein Holmen
7004443355,[40],0,1,0.0,Alberto Ascherio
7004478068,[91],0,1,0.0,Patricio Lopez-Jaramillo
7004487795,"[48, 50, 63, 64, 75]",0,5,0.0,Gaspare Parrinello
7004561961,[89],0,1,0.0,Ron T. Gansevoort
7004577495,[67],0,1,0.0,Nobutake Shimojo
7004668410,"[45, 46]",0,2,0.0,Catherine Loria
7004702187,"[61, 82]",0,2,0.0,Chigusa Date
7004891687,"[42, 32, 38]",0,3,0.0,William B. Applegate
7005017834,"[78, 87]",0,2,0.0,Per Henrik Groop
7005078898,[79],0,1,0.0,Nicole Dowling
7005122218,[84],0,1,0.0,Pieter A. De Graeff
7005192838,[4],1,0,1.0,Pasquale Strazzullo
7005204049,[66],0,1,0.0,Shoichiro Tsugane
7005231100,[58],0,1,0.0,Mikko J. Virtanen
7005285275,[79],0,1,0.0,Cathleen Gillespie
7005302548,[77],0,1,0.0,Kalina Kawecka-Jaszcz
7005417514,[58],0,1,0.0,Monica Mars
7005435520,[89],0,1,0.0,Edith J.M. Feskens
7005473334,[53],0,1,0.0,Jacqueline C.M. Witteman
7005479262,[69],0,1,0.0,George Jerums
7005545505,[91],0,1,0.0,Khalid Yusoff
7005647985,[47],0,1,0.0,Pekka Jousilahti
7005679829,[66],0,1,0.0,Yoshitaka Tsubono
7005747309,"[48, 50, 63, 64, 75, 60]",0,6,0.0,Salvatore Paterna
7005847351,[48],0,1,0.0,Antonietta Cardinale
7005914051,[40],0,1,0.0,M. A. Hern??n
7005951169,[77],0,1,0.0,Edoardo Casiglia
7005973687,[74],0,1,0.0,Jeffrey Probstfield
7006002310,[39],0,1,0.0,Mary K. McCluskey
7006054977,"[33, 34]",0,2,0.0,Jean Sealey
7006070107,[89],0,1,0.0,Stephan J.L. Bakker
7006073874,[90],0,1,0.0,Patrick B. Mark
7006125855,[91],0,1,0.0,Sadi Gulec
7006126585,[26],0,1,0.0,A. Gillies
7006132527,[68],0,1,0.0,Eduardo R. Azevedo
7006159275,[90],0,1,0.0,Jamie P. Traynor
7006165261,[92],0,1,0.0,Guido Michels
7006205335,[91],0,1,0.0,Gilles Dagenais
7006217003,"[33, 34, 41]",0,3,0.0,Shantha Madhavan
7006387556,[42],0,1,0.0,Walter H. Ettinger
7006469121,[66],0,1,0.0,Junko Ishihara
7006475934,[83],0,1,0.0,T. C.Y. Kwok
7006484941,"[48, 50, 63, 64, 75, 60, 10]",1,6,0.14285714285714285,Pietro Di Pasquale
7006489385,[39],0,1,0.0,Hugh Tunstall-Pedoe
7006558522,[58],0,1,0.0,Demetrius Albanes
7006599533,"[13, 11]",2,0,1.0,Niels Graudal
7006613950,[67],0,1,0.0,Takanori Arimoto
7006685915,[30],0,1,0.0,Torgeir Bruun Wyller
7006694590,"[55, 56, 32, 38]",0,4,0.0,Eva Obarzanek
7006704793,"[4, 9]",2,0,1.0,Francesco P. Cappuccio
7006797376,"[61, 82]",0,2,0.0,Akiko Tamakoshi
7006809327,[79],0,1,0.0,W. Dana Flanders
7007180724,"[71, 86]",0,2,0.0,Sandra B. Dunbar
7101783248,[61],0,1,0.0,Akio Koizumi
7101785555,"[71, 86, 72]",0,3,0.0,Debra K. Moser
7101834901,[74],0,1,0.0,Roland E. Schmieder
7101863439,[91],0,1,0.0,Annika Rosengren
7101875797,[51],0,1,0.0,Ching Syang Jack Yue
7102062009,[74],0,1,0.0,Peter Sleight
7102062650,[88],0,1,0.0,Hirohito Sone
7102093023,"[1, 2, 3, 5, 12, 6]",6,0,1.0,Shah Ebrahim
7102103810,[68],0,1,0.0,Susanna Mak
7102172021,[77],0,1,0.0,Yuri Nikitin
7102230208,[81],0,1,0.0,Ralph L. Sacco
7102422991,"[42, 55, 56, 29, 35, 37, 32, 38]",0,8,0.0,Jeffrey A. Cutler
7102470549,[68],0,1,0.0,Gary E. Newton
7102510958,[39],0,1,0.0,Mark Woodward
7102568501,[84],0,1,0.0,Dick De Zeeuw
7102658830,"[42, 43, 55, 56, 57, 32, 38]",0,7,0.0,Lawrence J. Appel
7102761510,[76],0,1,0.0,Youn Jung Son
