source,target,no_of_reports_coauthored,no_of_srrs_coauthored,no_of_psrs_coauthored,percent_srrs
1,77,1.0,0.0,1.0,0.0
1,78,1.0,0.0,1.0,0.0
1,79,1.0,0.0,1.0,0.0
1,80,1.0,0.0,1.0,0.0
1,81,3.0,0.0,3.0,0.0
1,82,1.0,0.0,1.0,0.0
1,83,1.0,0.0,1.0,0.0
1,84,1.0,0.0,1.0,0.0
1,85,1.0,0.0,1.0,0.0
1,87,1.0,0.0,1.0,0.0
1,88,1.0,0.0,1.0,0.0
1,89,1.0,0.0,1.0,0.0
1,90,1.0,0.0,1.0,0.0
1,91,1.0,0.0,1.0,0.0
1,92,1.0,0.0,1.0,0.0
1,93,1.0,0.0,1.0,0.0
1,94,1.0,0.0,1.0,0.0
1,95,1.0,0.0,1.0,0.0
1,96,1.0,0.0,1.0,0.0
1,97,1.0,0.0,1.0,0.0
1,98,1.0,0.0,1.0,0.0
1,99,1.0,0.0,1.0,0.0
1,100,1.0,0.0,1.0,0.0
1,101,1.0,0.0,1.0,0.0
1,102,1.0,0.0,1.0,0.0
1,103,1.0,0.0,1.0,0.0
1,104,1.0,0.0,1.0,0.0
1,105,1.0,0.0,1.0,0.0
1,106,1.0,0.0,1.0,0.0
1,107,1.0,0.0,1.0,0.0
1,108,1.0,0.0,1.0,0.0
1,109,1.0,0.0,1.0,0.0
1,110,1.0,0.0,1.0,0.0
1,111,1.0,0.0,1.0,0.0
1,112,1.0,0.0,1.0,0.0
1,202,1.0,0.0,1.0,0.0
1,203,2.0,0.0,2.0,0.0
1,204,1.0,0.0,1.0,0.0
1,7004891687,1.0,0.0,1.0,0.0
1,7006694590,1.0,0.0,1.0,0.0
1,7102422991,3.0,0.0,3.0,0.0
1,7102658830,1.0,0.0,1.0,0.0
1,7103041111,1.0,0.0,1.0,0.0
1,7202992021,1.0,0.0,1.0,0.0
1,35380806400,1.0,0.0,1.0,0.0
1,36047010400,1.0,0.0,1.0,0.0
3,4,1.0,1.0,0.0,1.0
3,7006484941,1.0,1.0,0.0,1.0
3,55628530729,1.0,1.0,0.0,1.0
4,3,1.0,1.0,0.0,1.0
4,7006484941,1.0,1.0,0.0,1.0
4,55628530729,1.0,1.0,0.0,1.0
5,1,1.0,0.0,1.0,0.0
5,16,1.0,0.0,1.0,0.0
5,17,1.0,0.0,1.0,0.0
5,18,2.0,0.0,2.0,0.0
5,19,1.0,0.0,1.0,0.0
5,20,1.0,0.0,1.0,0.0
5,22,1.0,0.0,1.0,0.0
5,31,2.0,0.0,2.0,0.0
5,32,2.0,0.0,2.0,0.0
5,33,2.0,0.0,2.0,0.0
5,40,2.0,0.0,2.0,0.0
5,41,1.0,0.0,1.0,0.0
5,42,1.0,0.0,1.0,0.0
5,43,1.0,0.0,1.0,0.0
5,44,1.0,0.0,1.0,0.0
5,45,1.0,0.0,1.0,0.0
5,46,2.0,0.0,2.0,0.0
5,47,1.0,0.0,1.0,0.0
5,48,1.0,0.0,1.0,0.0
5,49,2.0,0.0,2.0,0.0
5,50,1.0,0.0,1.0,0.0
5,51,1.0,0.0,1.0,0.0
5,52,1.0,0.0,1.0,0.0
5,53,1.0,0.0,1.0,0.0
5,54,1.0,0.0,1.0,0.0
5,55,1.0,0.0,1.0,0.0
5,56,1.0,0.0,1.0,0.0
5,57,1.0,0.0,1.0,0.0
5,58,1.0,0.0,1.0,0.0
5,59,1.0,0.0,1.0,0.0
5,60,2.0,0.0,2.0,0.0
5,61,1.0,0.0,1.0,0.0
5,62,1.0,0.0,1.0,0.0
5,63,1.0,0.0,1.0,0.0
